"","parent_company","start","end","merging_firm","note"
"1","-",1990,2006,"",""
"2","A BOTTACCHI SA DE NAVEGACION",1990,1995,"",""
"3","A P MOLLER",1990,2006,"",""
"4","ALFRED C TOEPFER KG SCHIFFAHRT",1990,2006,"",""
"5","ANDREW WEIR & CO LTD",1990,2006,"",""
"6","APL LTD",1990,1997,"",""
"7","BANK OF AMERICA NATIONAL TRUST",1990,1992,"",""
"8","BANK OF SCOTLAND",1990,2000,"",""
"9","BAUM & CO GMBH & CO KG",1990,2006,"",""
"10","BEN LINE GROUP LTD (WM THOMSON",1990,1992,"",""
"11","BERND BECKER KG",1990,2006,"",""
"12","BUGSIER-REEDEREI-UND BERGUNGS-",1990,1996,"",""
"13","BURMA NAVIGATION CORP",1990,1998,"",""
"14","C& LINE CO LTD",1990,2006,"",""
"15","CHENG LIE NAVIGATION CO LTD",1990,2006,"",""
"16","CHINA OCEAN SHIPPING (GROUP) C",1990,2006,"",""
"17","CHRISTIAN F AHRENKIEL GMBH & C",1990,2006,"",""
"18","CITICORP",1990,1996,"",""
"19","COLONIAL MARINE INDUSTRIES INC",1990,1994,"",""
"20","COMPAGNIE GENERALE MARITIME  E",1990,2002,"",""
"21","COMPAGNIE MAROCAINE DE NAVIGAT",1990,2006,"",""
"22","COMPANIA MARITIMA",1990,1991,"",""
"23","COMPANIA SUDAMERICANA  DE VAPO",1990,2006,"",""
"24","COMPANIA TRASATLANTICA ESPANOL",1990,2004,"",""
"25","CONTI REEDEREI",1990,2006,"",""
"26","COSTAMARE SHIPPING CO SA",1990,2006,"",""
"27","D'AMICO SOCIETA DI NAVIGAZIONE",1990,2006,"",""
"28","DANSK INVESTERINGSFOND AF 1JUL",1990,1999,"",""
"29","DELMAS",1990,2006,"",""
"30","DMK LEASING A/S",1990,2006,"",""
"31","DYVI AS",1990,1991,"",""
"32","EGON OLDENDORFF OHG",1990,1997,"",""
"33","ERIK THUN A/B",1990,1994,"",""
"34","EVERGREEN MARINE CORP (TAIWAN)",1990,2006,"",""
"35","F A VINNEN & CO (GMBH & CO KG)",1990,2006,"",""
"36","F LAEISZ SCHIFFAHRTSGESELLSCHA",1990,2006,"",""
"37","FAR-EAST TRANSPORT CO LTD",1990,1996,"",""
"38","FARRELL LINES INC",1990,2000,"",""
"39","FLENSBURGER SCHIFFSPARTEN-VERE",1990,2000,"",""
"40","GATX CORP",1990,1992,"",""
"41","GEORGE A CALLITSIS SUCCESSORS",1990,2006,"",""
"42","GERD RITSCHER KG",1990,2006,"",""
"43","GOVERNMENT OF THE  UNITED STAT",1990,2006,"",""
"44","GOVERNMENT OF THE PEOPLE'S  RE",1990,2006,"",""
"45","GOVERNMENT OF THE PEOPLE'S REP",1990,2006,"",""
"46","GOVERNMENT OF THE REPUBLIC OF",1990,2006,"",""
"47","H CLARKSON & CO LTD",1990,1994,"",""
"48","HANJIN SHIPPING CO LTD",1990,2006,"",""
"49","HAPAG-LLOYD AG",1990,2006,"",""
"50","HDS AS",1990,1991,"",""
"51","HERM DAUELSBERG GMBH & CO",1990,2006,"",""
"52","HYUNDAI CORP",1990,2006,"",""
"53","IMC SHIPPING CO PTE LTD (IMCSC",1990,1993,"",""
"54","INDIA STEAMSHIP CO LTD",1990,1997,"",""
"55","INTERORIENT NAVIGATION CO LTD",1990,2006,"",""
"56","ISLAMAR SHIPMANAGEMENT CO LTD",1990,2006,"",""
"57","JADROPLOV INTERNATIONAL MARITI",1990,2006,"",""
"58","JAMES FISHER & SONS PLC",1990,1991,"",""
"59","JARDINE SHIPPING LTD",1990,2006,"",""
"60","JOHN SWIRE & SONS LTD",1990,2006,"",""
"61","JOHN T ESSBERGER GMBH & CO KG",1990,2006,"",""
"62","JOHS THODE GMBH & CO KG",1990,2006,"",""
"63","KAMBARA KISEN CO LTD",1990,1999,"",""
"64","KAWASAKI KISEN KAISHA LTD  (KA",1990,2006,"",""
"65","KDB CAPITAL CO LTD",1990,2006,"",""
"66","KG PROJEX-SCHIFFAHRTS GMBH & C",1990,2006,"",""
"67","KHATIB TRADING CO",1990,1996,"",""
"68","KNUTSEN OAS SHIPPING AS",1990,2001,"",""
"69","KOREA MARINE TRANSPORT CO LTD",1990,2006,"",""
"70","LEONHARDT & BLUMBERG   SCHIFFA",1990,2006,"",""
"71","LLOYDS TSB GROUP PLC",1990,2006,"",""
"72","LOADSTAR SHIPPING CO INC",1990,1991,"",""
"73","MALAYSIA SHIPPING CORP SDN BHD",1990,2006,"",""
"74","MARISCOS HYBUR SA",1990,1997,"",""
"75","MARLOW NAVIGATION CO LTD",1990,2006,"",""
"76","MARUBA SCA  EMPRESA DE NAVEGAC",1990,2006,"",""
"77","MARUBENI CORP",1990,2001,"",""
"78","MATSON NAVIGATION CO INC",1990,2004,"",""
"79","MEDITERRANEAN SHIPPING CO SA",1990,2006,"",""
"80","MISC BERHAD",1990,2003,"",""
"81","MITSUI OSK LINES LTD (MOL)",1990,2006,"",""
"82","MIZUHO SANGYO CO LTD",1990,2006,"",""
"83","MUTUALISTA ACOREANA DE TRANSPO",1990,2002,"",""
"84","NANTAI LINE CO LTD",1990,1998,"",""
"85","NAVIERA PINILLOS SA",1990,1998,"",""
"86","NEGROS NAVIGATION CO INC",1990,2006,"",""
"87","NEPTUNE ORIENT LINES LTD (NOL)",1990,2006,"",""
"88","NIPPON KAIUN KK  (NIPPON SHIPP",1990,2000,"",""
"89","NIPPON MARINE CO LTD  (NIPPON",1990,2006,"",""
"90","NIPPON YUSEN KAISHA (NYK LINE)",1990,2006,"",""
"91","NITTA KISEN KAISHA LTD",1990,2006,"",""
"92","NORSE MANAGEMENT CO (PTE) LTD",1990,2006,"",""
"93","NSB NIEDERELBE  SCHIFFAHRTSGES",1990,2006,"",""
"94","NV CMB SA",1990,2006,"",""
