"","alliance_group_name"
"1","[Norasia/CSAV](Wallem)"
"2","AAL Shipping"
"3","ACL"
"4","ACL/MOL"
"5","ACL/ONE/PIL(Mariana)/Samudera"
"6","ACL/PIL"
"7","ACL/RCL"
"8","Admiral(Arya Int'l)"
"9","Admiral(Arya Int’l)"
"10","Alianca(Seven Seas)"
"11","ANL(Ben)"
"12","ANL(Ben)/China Shipping/OOCL"
"13","ANL(Ben)/CSCL/OOCL"
"14","ANL(CMA CGM)"
"15","ANL(CMA CGM)/COSCO/CSCL/KL/MOL/NYK/OOCL"
"16","ANL(CMA CGM)/COSCO/OOCL"
"17","ANL(CMA CGM)/COSCO/OOCL/PIL"
"18","ANL(CMA CGM)/COSCO/OOCL/PIL(Mariana)"
"19","ANL(CMA CGM)/CSCL/OOCL"
"20","ANL(CMA CGM)/Djakarta Lloyd/Hapag/Maersk/ONE"
"21","ANL(CMA CGM)/OOCL/PIL"
"22","ANL/APL/COSCO/OOCL/PIL"
"23","ANL/APL/Djakarta Lloyd"
"24","ANL/APL/Djakarta Lloyd/NYK"
"25","ANL/APL/Djakarta Lloyd/NYK/PONL"
"26","ANL/APL/Hanjin"
"27","ANL/COSCO"
"28","ANL/COSCO/Hapag/OOCL"
"29","ANL/COSCO/OOCL/PIL(Mariana)"
"30","ANL/CSCL/Hanjin/Hapag/OOCL/UASC"
"31","ANL/CSCL/Hanjin/Hapag/RCL/UASC"
"32","ANL/Evergreen/Hapag/Hyundai"
"33","ANL/Hanjin"
"34","ANL/Hapag/Maersk/ONE"
"35","ANL/Hapag/OOCL/UASC"
"36","APL"
"37","APL(CMA CGM)"
"38","APL/Bengal Tiger Line"
"39","APL/Cheng Lie"
"40","APL/Cheng Lie(CMA CGM)"
"41","APL/CMA-CGM(Ben)/Hyundai/MOL"
"42","APL/CMA-CGM(Ben)/Hyundai/MOL/Norasia(Wallem)"
"43","APL/CMA-CGM(Ben)/Norasia(Wallem)"
"44","APL/CMA-CGM/Hapag"
"45","APL/CMA-CGM/Hyundai/MOL"
"46","APL/CMA CGM"
"47","APL/CMA CGM/COSCO"
"48","APL/CMA CGM/COSCO/Evergreen"
"49","APL/CMA CGM/COSCO/Evergreen/Hapag/OOCL"
"50","APL/CMA CGM/COSCO/Evergreen/OOCL"
"51","APL/CMA CGM/COSCO/Evergreen/OOCL/PIL"
"52","APL/CMA CGM/COSCO/Evergreen/OOCL/PIL(Mariana)"
"53","APL/CMA CGM/COSCO/Evergreen/PIL"
"54","APL/CMA CGM/COSCO/Evergreen/PIL(Mariama)/Yang Ming"
"55","APL/CMA CGM/COSCO/Evergreen/PIL/Yang Ming"
"56","APL/CMA CGM/COSCO/Hamburg Sud(Seven Seas)/Hapag/Hyundai/MSC"
"57","APL/CMA CGM/COSCO/Hamburg Sud/Hapag/ONE"
"58","APL/CMA CGM/COSCO/Hapag/MSC/ONE"
"59","APL/CMA CGM/COSCO/KL/RCL/Simatech/T.S. Lines"
"60","APL/CMA CGM/COSCO/OOCL"
"61","APL/CMA CGM/COSCO/RCL/Simatech/T.S. Lines"
"62","APL/CMA CGM/Hamburg Sud(Seven Seas)/Hapag/Hyundai/MSC"
"63","APL/CMA CGM/Hapag/Hyundai/MISC/MOL/NYK/OOCL"
"64","APL/CMA CGM/Hapag/MSC"
"65","APL/CMA CGM/Hapag/NYK/OOCL"
"66","APL/CMA CGM/Hyundai/MOL"
"67","APL/CMA CGM/Maersk"
"68","APL/COSCO/Evergreen/ONE/PIL(Mariana)/Wan Hai"
"69","APL/COSCO/Gold Star/KL/MOL/NYK/PIL"
"70","APL/COSCO/KMTC/RCL/Simatech/T.S. Lines"
"71","APL/COSCO/Maersk"
"72","APL/COSCO/OOCL"
"73","APL/Emirates Ship./OOCL"
"74","APL/Evergreen/Hamburg Sud(Seven Seas)/Hapag/Hyundai"
"75","APL/Evergreen/Hapag/Hyundai/MOL/NYK"
"76","APL/Evergreen/Hapag/KL/Yang Ming"
"77","APL/Evergreen/Hapag/ONE/Yang Ming"
"78","APL/Evergreen/Hyundai"
"79","APL/Evergreen/Hyundai/MOL"
"80","APL/FESCO(Trans Russia Ag)"
"81","APL/Gold Star/OOCL"
"82","APL/Gold Star/PIL"
"83","APL/Gold Star/RCL/OOCL"
"84","APL/Hamburg Sud(Seven Seas)/Hapag/Hyundai"
"85","APL/Hanjin"
"86","APL/Hanjin/Hapag/Hyundai/MISC/MOL/NYK/OOCL/UASC(Summit)"
"87","APL/Hanjin/Hapag/Hyundai/MOL/NYK/OOCL"
"88","APL/Hanjin/Hyundai/MOL/UASC(Summit)"
"89","APL/Hapag"
"90","APL/Hapag/Hyundai/MOL/NYK/OOCL"
"91","APL/Hapag/Hyundai/MOL/NYK/OOCL/Zim"
"92","APL/Hapag/Hyundai/MOL/OOCL"
"93","APL/Hapag/Hyundai/NYK/OOCL"
"94","APL/Hapag/MOL"
"95","APL/Hapag/MOL/OOCL"
"96","APL/Hapag/NYK"
"97","APL/Hyundai/MOL"
"98","APL/Lykes/TMM"
"99","APL/MOL"
"100","APL/MOL/[Norasia/CSAV]/OOCL"
"101","APL/MOL/NYK"
"102","APL/MOL/NYK/OOCL/PIL"
"103","APL/MOL/OOCL"
"104","APL/NYK/OOCL/PIL"
"105","APL/OOCL"
"106","APL/PIL(Mariana)"
"107","APL/PIL(Wallem)"
"108","APL/RCL"
"109","APL/T.S. Lines"
"110","APL/Wan Hai"
"111","APL/Yang Ming"
"112","Armacup"
"113","ASL(Sankyu)/EAS(Ben)"
"114","Austral Asia Line"
"115","Austral Asia Line(Hesco)"
"116","Bengal Tiger Line"
"117","Bengal Tiger Line/Hyundai"
