"","year","data_source","operator","operator_rename","name in CIY","name in HB","merging_firm"
"1",1993,"IHS","'C.N.M. ROMLINE' SHIPPING CO.","'C.n.m. Romline' Shipping Co.",NA,NA,NA
"2",1990,"IHS","-","-","1990",NA,NA
"3",1991,"IHS","-","-",NA,NA,NA
"4",1990,"IHS","A BOTTACCHI SA DE NAVEGACION","A Bottacchi Sa De Navegacion","1990",NA,NA
"5",1991,"IHS","A BOTTACCHI SA DE NAVEGACION","A Bottacchi Sa De Navegacion",NA,NA,NA
"6",1990,"IHS","A P MOLLER","A P Moller","Maersk","Maersk",NA
"7",1991,"IHS","A P MOLLER","A P Moller","Maersk","Maersk",NA
"8",2003,"IHS","A&L CF DECEMBER (1) LTD","A&L Cf December (1) Ltd",NA,NA,"Santander Banco SA"
"9",2006,"IHS","A&L CF DECEMBER (1) LTD","A&L Cf December (1) Ltd",NA,"2006","Santander Banco SA"
"10",1992,"IHS","ABBEY NATIONAL PLC","Abbey National Plc",NA,NA,"Santander Banco SA"
"11",1997,"IHS","ABOITIZ TRANSPORT SYSTEM CORP","Aboitiz Transport System Corp",NA,NA,NA
"12",1992,"IHS","ACTINOR SHIPPING ASA","Actinor Shipping Asa",NA,NA,NA
"13",2002,"IHS","ADANI SHIPPING (CHINA) CO LTD","Adani Shipping (China) Co Ltd",NA,NA,NA
"14",2006,"IHS","ADANI SHIPPING (CHINA) CO LTD","Adani Shipping (China) Co Ltd",NA,"2006",NA
"15",2006,"IHS","ADRIA MARITIME SPA","Adria Maritime Spa",NA,"2006",NA
"16",2006,"IHS","AFRICAN LEADER TRANSPORTS MARI","African Leader Transports Mari",NA,"2006",NA
"17",1993,"IHS","AKI KAIUN CO LTD (AKI KAIUN KK","Aki Kaiun Co Ltd (Aki Kaiun Kk",NA,NA,NA
"18",2006,"IHS","AKI KAIUN CO LTD (AKI KAIUN KK","Aki Kaiun Co Ltd (Aki Kaiun Kk",NA,"2006",NA
"19",1998,"IHS","ALCYON SHIPPING CO LTD","Alcyon Shipping Co Ltd",NA,NA,NA
"20",2005,"IHS","ALEXANDER & BALDWIN INC","Alexander & Baldwin Inc",NA,NA,NA
"21",2006,"IHS","ALEXANDER & BALDWIN INC","Alexander & Baldwin Inc",NA,"2006",NA
"22",1990,"IHS","ALFRED C TOEPFER KG SCHIFFAHRT","Alfred C Toepfer Kg Schiffahrt","1990",NA,NA
"23",1991,"IHS","ALFRED C TOEPFER KG SCHIFFAHRT","Alfred C Toepfer Kg Schiffahrt",NA,NA,NA
"24",2003,"IHS","ALLOCEAN LTD","Allocean Ltd",NA,NA,NA
"25",2006,"IHS","ALLOCEAN LTD","Allocean Ltd",NA,"2006",NA
"26",2005,"IHS","ALLOCEAN MARITIME LTD","Allocean Maritime Ltd",NA,NA,NA
"27",2006,"IHS","ALLOCEAN MARITIME LTD","Allocean Maritime Ltd",NA,"2006",NA
"28",1999,"IHS","ALON MARITIME CORP","Alon Maritime Corp",NA,NA,NA
"29",1996,"IHS","ALPHA SHIP GMBH","Alpha Ship Gmbh",NA,NA,NA
"30",2006,"IHS","ALPHA SHIP GMBH","Alpha Ship Gmbh",NA,"2006",NA
"31",2003,"IHS","ALUNITED MARITIME BUSINESS (PV","Alunited Maritime Business (Pv",NA,NA,NA
"32",2006,"IHS","ALUNITED MARITIME BUSINESS (PV","Alunited Maritime Business (Pv",NA,"2006",NA
"33",1999,"IHS","AMASUS SHIPPING BV","Amasus Shipping Bv",NA,NA,NA
"34",2006,"IHS","AMISCO LTD (AMISCO AS)","Amisco Ltd (Amisco As)",NA,"2006",NA
"35",1990,"IHS","ANDREW WEIR & CO LTD","Andrew Weir & Co Ltd","1990",NA,NA
"36",1991,"IHS","ANDREW WEIR & CO LTD","Andrew Weir & Co Ltd",NA,NA,NA
"37",2005,"IHS","ANEMOS SHIPPING CO LTD","Anemos Shipping Co Ltd",NA,NA,NA
"38",2006,"IHS","ANEMOS SHIPPING CO LTD","Anemos Shipping Co Ltd",NA,"2006",NA
