"","year","operator","dw","country_or_market","data_source"
"1",2007,"AAL Shipping",191865,"Ms","HB"
"2",1971,"ABC Container Line",4660,"Transatlantic","CIY"
"3",2005,"ACL",503601,"Sg","HB"
"4",1977,"Admiral Lines",2180,"Asia and Eur","CIY"
"5",1978,"Admiral Shipping",8460,"Asia and Eur","CIY"
"6",1982,"Alianca",4450,"Transatlantic","CIY"
"7",1969,"American Export Lines",35000,"Transatlantic","CIY"
"8",1968,"American Mail Line",11610,"Transpacific","CIY"
"9",1968,"American President Lines",15850,"Transpacific","CIY"
"10",1981,"AmTrans",22000,"Transatlantic","CIY"
"11",2005,"ANL",156515,"Ba","HB"
"12",2005,"APL",7387740,"Sg","HB"
"13",2017,"APL/PIL",84155,"Li","HB"
"14",2005,"Armacup",28080,"Pa","HB"
"15",2017,"ASL",8210,"Ma","HB"
"16",1970,"Atkabtuca SpA",4730,"Transatlantic","CIY"
"17",1981,"Atlantic Cargo Service",13000,"Transatlantic","CIY"
"18",1967,"Atlantic Container Line",30440,"Transatlantic","CIY"
"19",1972,"Atlantic Lash",8000,"Transatlantic","CIY"
"20",1974,"Atlanttrafik/Barber Blue Sea",10900,"Transpacific","CIY"
"21",1973,"Baltatlantic",3680,"Transatlantic","CIY"
"22",1973,"Bank Line",6060,"Transatlantic","CIY"
"23",1977,"Barber Blue Sea Line",52150,"Transpacific","CIY"
"24",1972,"Ben Line",53740,"Asia and Eur","CIY"
"25",2008,"Bengal Tiger Line",47629,"Li","HB"
"26",2007,"Bien Dong",7000,"Vt","HB"
"27",1973,"Blasco",3680,"Asia and Eur","CIY"
"28",1976,"Blue Funnel Kine",4040,"Asia and Eur","CIY"
"29",1985,"Booth",4220,"Transatlantic","CIY"
"30",1986,"Brisa",12080,"Transatlantic","CIY"
"31",1975,"BSC",8240,"Transatlantic","CIY"
"32",2008,"C-LINE",105304,"Ma","HB"
"33",2005,"Camellia Line",8919,"Ja","HB"
"34",1977,"Canisa",3000,"Transpacific","CIY"
"35",1971,"Canmar",15860,"Transatlantic","CIY"
"36",2005,"Canmar",101421,"Br","HB"
"37",1978,"Canmar/OOCL",17370,"Transatlantic","CIY"
"38",1983,"Caribtainer",5010,"Transatlantic","CIY"
"39",1969,"Cast Line",3520,"Transatlantic","CIY"
"40",1979,"CC Line",12360,"Transpacific","CIY"
"41",1973,"CCL",4220,"Transatlantic","CIY"
"42",2009,"CCL",24801,"An","HB"
"43",2005,"CCNI",278793,"Li","HB"
"44",1978,"CD",9000,"Transatlantic","CIY"
"45",2005,"CEL",3626,"PRC","HB"
"46",1977,"Chargeurs Reunis",14820,"Asia and Eur","CIY"
"47",2005,"Cheng Lie",198877,"SV","HB"
"48",2011,"China Navigation",327813,"HK","HB"
"49",2005,"China Shipping",2577042,"Cp","HB"
"50",2015,"China United Lines",9946,"PRC","HB"
"51",1973,"Chipolbrok",2450,"Asia and Eur","CIY"
"52",1987,"Cho Yang",26500,"Asia and Eur","CIY"
"53",2010,"Chongqing Marine",9736,"SV","HB"
"54",1971,"Cia Transatlantica Espanola",5600,"Transatlantic","CIY"
"55",1970,"Ciamar",4320,"Transatlantic","CIY"
"56",1967,"Cie Generale Maritime",1810,"Transatlantic","CIY"
"57",2005,"CK Line",103514,"Pa","HB"
"58",2008,"CLAN",34017,"An","HB"
"59",2005,"CMA-CGM",3458426,"Li","HB"
"60",2005,"CMA-CGM/MSC",101662,"Ms","HB"
"61",1973,"Combi Line",12750,"Transatlantic","CIY"
"62",1977,"Compagnie Maritime Belge",7890,"Asia and Eur","CIY"
"63",1985,"Compagnie maritime d'affretement",19240,"Asia and Eur","CIY"
"64",1978,"Compania Chilena de Navegacion Interoceanica",19800,"Transatlantic","CIY"
"65",1986,"Conship",10200,"Asia and Eur","CIY"
"66",1978,"Constellation",5060,"Transatlantic","CIY"
"67",1980,"Contemaris",3330,"Transatlantic","CIY"
"68",1976,"Contract Marine Carriers",3820,"Transatlantic","CIY"
"69",1981,"Contship",12660,"Transatlantic","CIY"
"70",1970,"Cosco",3150,"Asia and Eur","CIY"
"71",2005,"COSCO",2901037,"Pa","HB"
"72",1969,"CP Ships",3220,"Transatlantic","CIY"
"73",1980,"CPV",2500,"Transpacific","CIY"
"74",2005,"CSAV",538351,"Ge","HB"
"75",1983,"CSC",13200,"Asia and Eur","CIY"
"76",1985,"CTC",50760,"Transatlantic","CIY"
"77",1965,"d'Amico",2400,"Transatlantic","CIY"
"78",2005,"Daiichi Chuo Kisen",29973,"Pa","HB"
"79",2005,"Daiko Shipping",11060,"Pa","HB"
"80",2019,"Dalian JiFa Bohai Rim Container Lines",24215,"HK","HB"
"81",2005,"Dandong International Ferry",11664,"SV","HB"
"82",1979,"Dannebrog",21040,"Transatlantic","CIY"
"83",1970,"Dart Containerline",31120,"Transatlantic","CIY"
"84",2005,"DBLCC",6626,"PRC","HB"
"85",2005,"Delmas",243248,"Li","HB"
"86",1978,"Deppe",8000,"Transatlantic","CIY"
"87",1977,"Deutsche Afrika-Linien",6000,"Transatlantic","CIY"
"88",1979,"DFDS",15480,"Transatlantic","CIY"
"89",1981,"DL",6860,"Asia and Eur","CIY"
"90",2005,"Dong Jin",34081,"Ko","HB"
"91",2005,"Dong Young",23709,"Pa","HB"
"92",2020,"Dongchen Line",8370,"SV","HB"
"93",2005,"Dongnama",170977,"Sg","HB"
"94",2011,"Doriko",42424,"Pa","HB"
"95",1986,"DSR",37340,"Asia and Eur","CIY"
"96",2022,"DTS",19000,"PRC","HB"
"97",1982,"EAC West Africa",6750,"Transatlantic","CIY"
"98",2017,"EAS International Shipping",8131,"Cp","HB"
"99",1977,"East Asiatic Co. A/S",14980,"Asia and Eur","CIY"
"100",2005,"Eastern Car Liner",21014,"Pa","HB"
"101",2005,"Eastern Shipping Lines",23601,"Pi","HB"
"102",1972,"EISC",1500,"Asia and Eur","CIY"
"103",1976,"Elma",5060,"Transpacific","CIY"
"104",2007,"Emirates Shipping",324026,"Li","HB"
"105",1982,"Empremar",6420,"Transatlantic","CIY"
"106",1976,"ENC",1100,"Asia and Eur","CIY"
"107",1977,"Euro-Gulf",13000,"Transatlantic","CIY"
"108",1978,"Eurobridge Lines",6200,"Transatlantic","CIY"
"109",1983,"Europe Paraguay",8320,"Transatlantic","CIY"
"110",1973,"Eurosal",3930,"Transatlantic","CIY"
"111",1975,"Evergreen",17560,"Transpacific","CIY"
"112",2005,"Evergreen",10102350,"Pa","HB"
"113",1982,"EWL",4560,"Transatlantic","CIY"
"114",2005,"Fair Wind",20818,"PRC","HB"
"115",1973,"Falline",6000,"Transatlantic","CIY"
"116",1965,"Farrell Lines",10680,"Transatlantic","CIY"
"117",1972,"Fesco",3020,"Transpacific","CIY"
"118",2005,"FESCO",10909,"Ru","HB"
"119",1977,"Finland Steamship",5520,"Asia and Eur","CIY"
"120",1971,"Finnlines",11360,"Transatlantic","CIY"
"121",1976,"Franco-Belgian Services",29640,"Asia and Eur","CIY"
"122",1982,"Fred Olsen",1640,"Transatlantic","CIY"
"123",1979,"Frigo",1470,"Transatlantic","CIY"
"124",1971,"Frota Oceanica",1280,"Transpacific","CIY"
"125",2005,"Fujian Shipping",16540,"HK","HB"
"126",2019,"G2 Ocean",159351,"Ba","HB"
"127",1965,"Galleon",9530,"Transpacific","CIY"
"128",1985,"GBCS",42000,"Transpacific","CIY"
"129",2005,"Geneq",14798,"Pa","HB"
"130",2005,"Genshipping Pacific Line",55102,"SV","HB"
"131",2005,"Gesuri Lloyd",10138,"Ia","HB"
"132",2005,"Gold Star Line",365750,"Ge","HB"
"133",2011,"Goto Shipping",45482,"Pa","HB"
"134",1965,"Grancolombiana",1890,"Transatlantic","CIY"
"135",2009,"Grand China Shipping",46931,"Pa","HB"
"136",1969,"Great Eastern Shipping Corp",2640,"Transpacific","CIY"
"137",2005,"Greater Bali-Hai",52410,"Pa","HB"
"138",1987,"Grimaldi",21400,"Transatlantic","CIY"
"139",2005,"Grupo TMM",101573,"Br","HB"
