"","seller_name","buyer_name","end","seller_operator_age_normalized","buyer_operator_age_normalized","modified_buyer_name_in_IHS","modified_seller_name_in_IHS"
"1","IMC SHIPPING CO PTE LTD (IMCSC","IMC Holdings Ltd",1993,0.235294117647059,NA,NA,NA
"2","BUSAN SHIPPING CO LTD","EUROSEAS LTD",1994,0.294117647058824,NA,NA,NA
"3","CHINA MERCHANTS STEAM NAVIGATI","China Merchants Group",1994,0.294117647058824,NA,NA,NA
"4","SVITZER AS","Maersk",1996,0.411764705882353,NA,NA,NA
"5","INTERSHIP NAVIGATION CO LTD","Hartmann AG",1996,0.411764705882353,NA,NA,NA
"6","APL LTD","NOL",1997,0.470588235294118,NA,NA,NA
"7","ABBEY NATIONAL PLC","Santander Banco SA",1997,0.470588235294118,NA,NA,NA
"8","PRIMA SHIPMANAGEMENT SDN BHD","HALIM MAZMIN GROUP",1999,0.588235294117647,NA,NA,NA
"9","FARRELL LINES INC","Maersk",2000,0.647058823529412,NA,NA,NA
"10","OOST ATLANTIC LIJN BV","ATLANTIC HORIZON GROUP",2001,0.705882352941177,NA,NA,NA
"11","EITZEN GROUP (CAMILLO EITZEN &","Eitzen Holding AS",2001,0.705882352941177,NA,NA,NA
"12","COMPAGNIE GENERALE MARITIME E","CMA-CGM",2002,NA,NA,NA,NA
"13","KIRMAR DENIZCILIK VE TICARET A","Kiran Holding AS",2002,0.764705882352941,NA,NA,NA
"14","CYPRUS MARITIME CO LTD","CYPRUS SEA LINES SA",2002,0.764705882352941,NA,NA,NA
"15","MISC BERHAD","MISC",2003,0.823529411764706,NA,NA,NA
"16","DANSK SUPERMARKED INVEST A/S","Maersk",2003,0.823529411764706,NA,NA,NA
"17","KIRAN GROUP OF SHIPPING COMPAN","Kiran Holding AS",2003,0.823529411764706,NA,NA,NA
"18","COMPANIA TRASATLANTICA ESPANOL","Naviera del Odiel",2004,0.882352941176471,NA,NA,NA
"19","THE PENINSULAR AND ORIENTAL ST","Maersk",2004,0.882352941176471,NA,NA,NA
"20","DEHAI MARINE SHIPPING (SINGAPO","Wilton Resources Corp Ltd",2004,0.882352941176471,NA,NA,NA
"21","EUROBULK LTD","EUROSEAS LTD",2005,0.941176470588235,NA,NA,NA
"22","BARCLAY SHIPPING LTD","BARCLAY SHIPPING",2005,0.941176470588235,NA,NA,NA
"23","DELMAS","CMA-CGM",2006,1,NA,NA,NA
"24","ROYAL P&O NEDLLOYD NV (KONINKL","Maersk",2006,1,NA,NA,NA
"25","ERNST RUSS GMBH & CO KG","Ernst Russ AG",2006,1,NA,NA,NA
"26","UNITED THAI SHIPPING CORP LTD","IMC Holdings Ltd",2006,1,NA,NA,NA
"27","CENTRAL MARINE KK (CENTRAL MA","V SHIPS GROUP",2006,NA,NA,NA,NA
"28","HORIZON LINES INC","MATSON NAVIGATION CO INC",2006,1,NA,NA,NA
"29","EICKE SCHIFFAHRTS KG","Eicke Reederei GmbH & Co KG",2006,1,NA,NA,NA
"30","A&L CF DECEMBER (1) LTD","Santander Banco SA",2006,1,NA,NA,NA
"31","CP SHIPS LTD","Hapag-Lloyd",2006,1,NA,NA,NA
"32","ARIES ENERGY CORP","Lemissoler Shipping Group PCL",2006,1,NA,NA,NA
"33","KONIG & CIE GMBH & CO KG","Ernst Russ AG",2006,1,NA,NA,NA
