"","id","year","ship_name","route_order","port_name","original_port_name"
"1","5",2009,"SAN AMERIGO",37," Hachinohe"," Hachinohe"
"2","6",2010,"SAN AMERIGO",29," Longview","(a)  Longview"
"3","8",2012,NA,37,"&APG ServiceTanjung Pelepas","(2)(NSB Service(via Kaohsiung)&(4)(APG Service(via Taipei)Tanjung Pelepas"
"4","17",2021,"TY Green",21,"1st Liner","1st Liner:"
"5","17",2021,"TY Green",25,"2nd Liner","2nd Liner:"
"6","1",2005,"ADRIAN MAERSK",31,"Aarhus","Aarhus(Sat)[31]"
"7","1",2005,"CAPTAIN P",28,"Abidjan","Abidjan"
"8","1",2005,NA,24,"Abu Dhabi","Abu Dhabi(Wed)[4]"
"9","10",2014,NA,22,"Abu Dhabi, Al Jubail, Dammam, Kuwait","Abu Dhabi, Al Jubail, Dammam, Kuwait"
"10","7",2011,NA,22,"Abu Dhabi, Bahrain, Bandar Abbas, Dammam, Doha, Jebel Ali, Kuwait, Port Sultan Qaboos","Abu Dhabi, Bahrain, Bandar Abbas, Dammam, Doha, Jebel Ali, Kuwait, Port Sultan Qaboos"
"11","11",2015,NA,22,"Abu Dhabi, Bahrain, Bandar Abbas, Dammam, Doha, Jebel Ali, Kuwait, Sohar","Abu Dhabi, Bahrain, Bandar Abbas, Dammam, Doha, Jebel Ali, Kuwait, Sohar"
"12","12",2016,NA,22,"Abu Dhabi, Bahrain, Bandar Abbas, Dammam, Doha, Jebel Ali, Kuwait, Sohar, Umm Qasr","Abu Dhabi, Bahrain, Bandar Abbas, Dammam, Doha, Jebel Ali, Kuwait, Sohar, Umm Qasr"
"13","13",2017,NA,22,"Abu Dhabi, Bahrain, Bandar Abbas, Dammam, Hamad Port, Jebel Ali, Kuwait, Sohar, Umm Qasr","Abu Dhabi, Bahrain, Bandar Abbas, Dammam, Hamad Port, Jebel Ali, Kuwait, Sohar, Umm Qasr"
"14","9",2013,NA,22,"Abu Dhabi, Bahrain, Calcutta, Chennai, Chittagong, Colombo, Dammam, Haldia, Jebel Ali, Karachi, Kuwait, Nhava Sheva, Pipavav, Sharjah, Sohar, Umm Qasr","Abu Dhabi, Bahrain, Calcutta, Chennai, Chittagong, Colombo, Dammam, Haldia, Jebel Ali, Karachi, Kuwait, Nhava Sheva, Pipavav, Sharjah, Sohar, Umm Qasr"
"15","7",2011,NA,22,"Abu Dhabi, Bahrain, Calcutta, Chennai, Chittagong, Colombo, Dammam, Haldia, Jebel Ali, Karachi, Kuwait, Nhava Sheva, Sharjah, Sohar, Umm Qasr","Abu Dhabi, Bahrain, Calcutta, Chennai, Chittagong, Colombo, Dammam, Haldia, Jebel Ali, Karachi, Kuwait, Nhava Sheva, Sharjah, Sohar, Umm Qasr"
"16","18",2022,NA,22,"Abu Dhabi, Bahrain, Dammam, Hamad Port, Jebel Ali, Kuwait, Sohar","Abu Dhabi, Bahrain, Dammam, Hamad Port, Jebel Ali, Kuwait, Sohar"
"17","1",2005,"HAPPY STAR",28,"Aburatsu","Aburatsu(Sat)"
"18","1",2005,"ALBERTA",27,"Acajutla","Acajutla"
"19","1",2005,"ANL EMBLEM",26,"Adelaide","Adelaide(Fri)"
"20","1",2005,"CAPE SPEAR",22,"Aden","Aden(Mon)"
"21","5",2009,NA,22,"Aden, Jeddah, Sokhna, Aqaba, Hodeidah","Aden, Jeddah, Sokhna, Aqaba, Hodeidah"
"22","5",2009,"AXEL MAERSK",21,"AE1","AE-1"
"23","5",2009,"AXEL MAERSK",21,"AE10","AE-10"
"24","4",2008,"CLEMENTINE MAERSK",21,"AE8","AE-8"
"25","4",2008,"EMIRATES ADAM",27,"AFA Service","(GIA): AFA Service"
"26","7",2011,NA,37,"Ajman","Ajman(Mon)"
"27","1",2005,NA,21,"Akita","Akita(Fri/Sat)[-1]"
"28","14",2018,"A VESSEL",29,"Al Jubail","Al Jubail(Tue/Wed)[26]"
"29","1",2005,"AL IHSA'A",26,"Alexandria","Alexandria(Tue/Wed)[18]"
"30","11",2015,NA,22,"Alexandria, Beirut, Barcelona, Djen Djen, Genova, Livorno, Koper, Larnaca, Limassol, Piraeus, Malta","Alexandria, Beirut, Barcelona, Djen Djen, Genova, Livorno, Koper, Larnaca, Limassol, Piraeus, Malta"
"31","16",2020,NA,22,"Alexandria, Beirut, Barcelona, Djen Djen, Livorno, Koper, Larnaca, Limassol, Piraeus, Malta, Derince, Valletta","Alexandria, Beirut, Barcelona, Djen Djen, Livorno, Koper, Larnaca, Limassol, Piraeus, Malta, Derince, Valletta"
"32","14",2018,NA,22,"Alexandria, Beirut, Barcelona, Djen Djen, Livorno, Koper, Larnaca, Limassol, Piraeus, Malta, Derince,Valletta","Alexandria, Beirut, Barcelona, Djen Djen, Livorno, Koper, Larnaca, Limassol, Piraeus, Malta, Derince,Valletta"
"33","10",2014,NA,22,"Alexandria, Beirut, Mersin, Barcelona, Djen Djen, Genova, Livorno, Koper, Larnaca, Limassol, Piraeus, Malta","Alexandria, Beirut, Mersin, Barcelona, Djen Djen, Genova, Livorno, Koper, Larnaca, Limassol, Piraeus, Malta"
"34","6",2010,NA,22,"Alexandria, Tartous, Derince, Piraeus, Gioia Tauro, Barcelona","Alexandria, Tartous, Derince, Piraeus, Gioia Tauro, Barcelona"
"35","7",2011,NA,22,"Alexandria, Tripoli, Barcelona, Beirut, Genova, Livorno, Koper, Larnaca, Limassol, Valletta","Alexandria, Tripoli, Barcelona, Beirut, Genova, Livorno, Koper, Larnaca, Limassol, Valletta"
"36","8",2012,NA,22,"Alexandria, Tripoli, Djen Djen, Barcelona, Beirut, Genova, Livorno, Koper, Larnaca, Limassol, Piraeus","Alexandria, Tripoli, Djen Djen, Barcelona, Beirut, Genova, Livorno, Koper, Larnaca, Limassol, Piraeus"
"37","9",2013,NA,22,"Alexandria, Tripoli, Djen Djen, Barcelona, Beirut, Genova, Livorno, Koper, Larnaca, Limassol, Piraeus, Malta","Alexandria, Tripoli, Djen Djen, Barcelona, Beirut, Genova, Livorno, Koper, Larnaca, Limassol, Piraeus, Malta"
"38","1",2005,NA,22,"Algeciras","(1)Algeciras"
"39","3",2007,NA,23,"Algeciras, Malaga","(2)Algeciras, (3)Malaga"
"40","14",2018,"SHANGHAI EXPRESS",30,"Aliaga","Aliaga(Tue/Thu)[37]"
"41","15",2019,NA,22,"Altamira","%Altamira"
"42","1",2005,"STAR GEIRANGER",29,"alternating operation of  and ","alternating operation of (a) and (b)"
"43","12",2016,"WESTWOOD COLUMBIA",27,"alternating operation of  and   Tacoma","alternating operation of (a) and (b)  (a) %Tacoma"
"44","4",2008,"MAERSK DAMIETTA",26,"Ambarli","Ambarli(Sat/Mon)[20]"
"45","2",2006,"BUNGA PELANGI",27,"Amsterdam","Amsterdam(Fri/Sat)[28]"
"46","10",2014,"Hoegh Africa",22,"Amsterdam, Antwerp, Zeebrugge, Bremerhaven, Le Havre, Newcastle, Southampton","Amsterdam, Antwerp, Zeebrugge, Bremerhaven, Le Havre, Newcastle, Southampton"
"47","14",2018,"Hoegh Jacksonville",22,"Amsterdam, Rotterdam, Antwerp, Bremerhaven, Le Havre, Dublin, Newcastle, Bristol, Southampton","Amsterdam, Rotterdam, Antwerp, Bremerhaven, Le Havre, Dublin, Newcastle, Bristol, Southampton"
