"","service_name"
"1","(A) Container/Conventional Direct Service"
"2","(B) Container Service"
"3","[Slot Charterer: China Shipping]"
"4","[Slot Charterer: Hanjin]"
"5","[Slot Charterer: SEVEN SEALS]"
"6","[Slot Charterer: UASC(Summit)]"
"7","[Slot Charterer: Zim]"
"8","[Space Charterer: Heung-A]"
"9","01. AE1 / Shogun Service [Slot Charterer: Hamburg Sud, Hyundai]"
"10","01. CC2 (Central China 2)"
"11","01. CC5 / HBB / AAC2 / CPS"
"12","01. CJV2 Line"
"13","01. Container Service [Slot Charterer: CK Line, Dongjin, Heung-A]"
"14","01. Container Service [Space Charterer: CK Line, Heung-A]"
"15","01. EX1 (Eagle Express) [Slot Charterer: Maersk]"
"16","01. Full Container Service"
"17","01. Full Container Service [Slot Charterer: Dongjin, Dong Young]"
"18","01. Full Container Service [Slot Charterer: KMTC]"
"19","01. Full Container Service [Space Charterer to/from Niigata & Tomakomai: Dongnama]"
"20","01. Full Container Service [Space Charterer: KMTC, Sinokor]"
"21","01. HBB / AAC2 / CPS"
"22","01. JTH (Japan - Taiwan - Hongkong Service) [Slot Charterer: Yang Ming]"
"23","01. JTP (Japan - Taiwan - Philippines Service) [Slot Charterer: COSCO, Interasia, SITC, Yang Ming]"
"24","01. JTP (Japan - Taiwan - Philippines Service) [Slot Charterer: COSCO, Interasia]"
"25","01. JTP (Japan - Taiwan - Philippines Service) [Slot Charterer: COSCO, Yang Ming]"
"26","01. JTP (Japan - Taiwan - Philippines Service) [Slot Charterer: Yang Ming]"
"27","01. JTS (Kanto Major Service) [Slot Charterer: Interasia]"
"28","01. JTV (Japan Thailand Vietnam Service)"
"29","01. JTV (Japan Thailand Vietnam Service) [Slot Charterer: OOCL, T.S. Lines]"
"30","01. JTV (Japan Thailand Vietnam Service) [Slot Charterer: T.S. Lines]"
"31","01. KTX 1"
"32","01. KTX 1 [Slot Charterer: COSCO, NYK]"
"33","01. KTX 1 [Slot Charterer: NYK]"
"34","01. KTX1 [Slot Charterer: COSCO]"
"35","01. NS1 (New Super 1 Service) [Slot Charterer: Hub Line(San Ei), Interasia, MOL]"
"36","01. NS1 (New Super 1 Service) [Slot Charterer: Interasia, MOL]"
"37","01. NS1 (North South Express) [Slot Charterer: Cheng Lie]"
