,operator,state,market,start,end,...1,merging_firm,note,dummy_merged_by_data_period1990
1,NYK,cartel,Asia and Eur,1971,1990,1,Ocean Network Express,Merged as Ocean Network Express since 2016,NA
2,TRIO,cartel,Asia and Eur,1971,1990,2,NA,A Group in Conference,NA
3,Zim,cartel,Asia and Eur,1972,1981,3,NA,Ongoing,NA
4,OCL,cartel,Asia and Eur,1972,1986,4,P\&O Containers,Merged by P&O in 1986,1
5,Ben Line,cartel,Asia and Eur,1972,1990,5,NA,All ships were sold in 1991,NA
6,Hapag-Lloyd,cartel,Asia and Eur,1972,1990,6,NA,Ongoing,NA
7,Med-Club,cartel,Asia and Eur,1972,1990,7,NA,NA,NA
8,ScanDutch,cartel,Asia and Eur,1972,1990,8,NA,A Group in Conference,NA
9,MOL,cartel,Asia and Eur,1974,1990,9,Ocean Network Express,Merged as Ocean Network Express since 2016,NA
10,K-Line,cartel,Asia and Eur,1975,1990,10,Ocean Network Express,Merged as Ocean Network Express since 2016,NA
11,Neptune Orient Lines,cartel,Asia and Eur,1975,1990,11,CMA-CGM,Subsidiary of CMA-CGM since 2016,NA
12,OOCL,cartel,Asia and Eur,1975,1990,12,Cosco,Subsidiary of COSCO since 2018,NA
13,Franco-Belgian Services,cartel,Asia and Eur,1976,1986,13,Maersk,Merged by Maersk in 1987,1
14,Maersk,cartel,Asia and Eur,1976,1990,14,NA,Ongoing,NA
15,Chargeurs Reunis,cartel,Asia and Eur,1977,1990,15,NA,Ongoing,NA
16,Cie Generale Maritime,cartel,Asia and Eur,1977,1990,16,CMA-CGM,Merged as CMA-CGM since 1999,NA
17,Compagnie Maritime Belge,cartel,Asia and Eur,1977,1990,17,Maersk,Subsidiary of Maersk since 1999 (Merged by Safmarine in 1998),NA
18,East Asiatic Co. A/S,cartel,Asia and Eur,1977,1990,18,Maersk,Merged by Maersk in 1993,NA
19,Nedlloyd,cartel,Asia and Eur,1977,1990,19,Maersk,Subsidiary of Maersk since 2005 (Merged as P&O Nedlloyd since 1997),NA
20,Wilhelmsen Lines A/S,cartel,Asia and Eur,1978,1990,20,NA,Ongoing,NA
21,KSC,cartel,Asia and Eur,1979,1987,21,Hanjin,Merged by Hanjin in 1987,1
22,Hanjin,cartel,Asia and Eur,1979,1988,22,NA,Bankrupt in 2016,NA
23,Lloyd Triestino,cartel,Asia and Eur,1979,1990,23,Evergreen,Merged by Evergreen in 1998,NA
24,Jugolinija,cartel,Asia and Eur,1980,1990,24,NA,Bankrupt in 2000・EEE@・EEEiCroatia Line),NA
25,DSR,cartel,Asia and Eur,1986,1988,25,Hanjin,Bankrupt in 2016(Merged by Hanjin in 1997)(Merged as DSR Senetor in 1994),NA
26,P&O Containers,cartel,Asia and Eur,1986,1990,26,Maersk,Subsidiary of Maersk since 2005 (Merged as P&O Nedlloyd since 1997),NA
27,Cho Yang,cartel,Asia and Eur,1987,1988,27,NA,Bankrupt in 2001,NA
28,Sea-Land,cartel,Asia and Eur,1989,1990,28,Maersk,Subsidiary of Maersk since 1999,NA
29,Chipolbrok,noncartel,Asia and Eur,1973,1990,29,NA,Ongoing,NA
30,Marfret,noncartel,Asia and Eur,1973,1990,30,NA,"Ongoing, back to coastal shipping in 2000",NA
31,ENC,noncartel,Asia and Eur,1976,1990,31,NA,NA,NA
32,Admiral Lines,noncartel,Asia and Eur,1977,1990,32,NA,General Cargo,NA
33,Blasco,noncartel,Asia and Eur,1978,1990,33,NA,Ongoing,NA
34,BSC,noncartel,Asia and Eur,1978,1990,34,NA,Ongoing,NA
35,India SS,noncartel,Asia and Eur,1978,1990,35,NA,"Ongoing, SS Shipping",NA
36,Evergreen,noncartel,Asia and Eur,1979,1990,36,NA,Ongoing,NA
37,DL,noncartel,Asia and Eur,1981,1990,37,NA,NA,NA
38,Omex,noncartel,Asia and Eur,1981,1990,38,NA,NA,NA
39,Cosco,noncartel,Asia and Eur,1982,1990,39,NA,Ongoing,NA
40,Zim,noncartel,Asia and Eur,1982,1990,40,NA,Ongoing,NA
41,CSC,noncartel,Asia and Eur,1983,1990,41,NA,NA,NA
42,NSCSA,noncartel,Asia and Eur,1983,1990,42,NA,"Ongoing,National Shipping Company of Saudi Arabia(Bahri)",NA
43,Compagnie maritime d'affretement,noncartel,Asia and Eur,1985,1990,43,CMA-CGM,Merged as CMA-CGM since 1999,NA
44,Norasia,noncartel,Asia and Eur,1986,1990,44,CSAV,Merged by CSAV in 2000,NA
45,Cho Yang,noncartel,Asia and Eur,1989,1990,46,NA,Bankrupt in 2001,NA
46,DSR,noncartel,Asia and Eur,1989,1990,47,Hanjin,Bankrupt in 2016(Merged by Hanjin in 1997)(Merged as DSR Senetor in 1994),NA
47,Hanjin,noncartel,Asia and Eur,1989,1990,48,NA,Bankrupt in 2016,NA
48,ScanDutch,noncartel_only_in_CIY,Asia and Eur,1967,1971,49,NA,A Group in Conference,NA
49,Maersk,noncartel_only_in_CIY,Asia and Eur,1967,1975,50,NA,Ongoing,NA
50,Cosco,noncartel_only_in_CIY,Asia and Eur,1970,1981,51,NA,Ongoing,NA
51,MSC,noncartel_only_in_CIY,Asia and Eur,1970,1990,52,NA,Ongoing,NA
52,Samudera,noncartel_only_in_CIY,Asia and Eur,1971,1990,53,NA,Ongoing,NA
53,OOCL,noncartel_only_in_CIY,Asia and Eur,1972,1974,54,Cosco,Subsidiary of COSCO since 2018,NA
54,Jugolinija,noncartel_only_in_CIY,Asia and Eur,1972,1979,55,NA,Bankrupt in 2000・EEE@・EEEiCroatia Line),NA
55,EISC,noncartel_only_in_CIY,Asia and Eur,1972,1990,56,NA,"Ongoing,Egyptian International Shipping Company",NA
56,Occon Line,noncartel_only_in_CIY,Asia and Eur,1972,1990,57,NA,NA,NA
57,Neptune Orient Lines,noncartel_only_in_CIY,Asia and Eur,1973,1974,58,CMA-CGM,Subsidiary of CMA-CGM since 2016,NA
58,Blasco,noncartel_only_in_CIY,Asia and Eur,1973,1977,59,NA,Ongoing,NA
59,Sea-Land,noncartel_only_in_CIY,Asia and Eur,1973,1988,60,Maersk,Subsidiary of Maersk since 1999,NA
60,Blue Funnel Kine,noncartel_only_in_CIY,Asia and Eur,1976,1990,61,NA,Ended in 1988,NA
