,operator_name,start,end,merging_firm,note,matching_type
1,ACL,2005,2022,NA,,
2,ANL,2005,2022,CMA-CGM,Subsidiary of CMA-CGM since 1998,
3,APL,2005,2022,CMA-CGM,Subsidiary of CMA-CGM since 2016,acquisition
4,Armacup,2005,2022,NA,Ferry,
5,Camellia Line,2005,2022,NA,Ferry,
6,Canmar,2005,2005,NA,,
7,CCNI,2005,2015,Maersk,,acquisition
8,CEL,2005,2009,NA,,
9,Cheng Lie,2005,2006,CMA-CGM,,acquisition
10,China Shipping,2005,2016,COSCO,,merger
11,CK Line,2005,2022,NA,,
12,CMA-CGM,2005,2022,NA,,
13,CMA-CGM/MSC,2005,2006,CMA-CGM,,
14,COSCO,2005,2022,NA,,
15,CSAV,2005,2015,Hapag-Lloyd,,acquisition
16,Daiichi Chuo Kisen,2005,2022,NA,General Cargo,
17,Daiko Shipping,2005,2022,NA,General Cargo,
18,Dandong International Ferry,2005,2022,NA,Ferry,
19,DBLCC,2005,2006,NA,,
20,Delmas,2005,2016,CMA-CGM,,
21,Dong Jin,2005,2022,NA,,
22,Dong Young,2005,2022,NA,,
23,Dongnama,2005,2007,NA,,
24,Eastern Car Liner,2005,2015,NA,General Cargo,
25,Eastern Shipping Lines,2005,2019,NA,,
26,Evergreen,2005,2022,NA,,
27,Fair Wind,2005,2007,NA,,
28,FESCO,2005,2022,NA,,
29,Fujian Shipping,2005,2006,NA,,
30,Geneq,2005,2012,NA,,
31,Genshipping Pacific Line,2005,2005,NA,,
32,Gesuri Lloyd,2005,2006,NA,,
33,Gold Star Line,2005,2022,NA,Subsidiary of ZIM,
34,Greater Bali-Hai,2005,2014,Swire,Subsidiary of Swire,deleted
35,Grupo TMM,2005,2005,Hapag-Lloyd,,
36,GWS,2005,2006,NA,,
37,Hamburg Sud,2005,2022,Maersk,Subsidiary of Maersk since 2017,acquisition
38,Hanjin,2005,2016,NA,,
39,Hapag-Lloyd,2005,2022,NA,,
40,HASCO,2005,2022,NA,,
41,HEUNG-A,2005,2022,NA,Subsidiary of Sinokor since 2019,
42,HMM,2005,2022,NA,,
43,Hoegh,2005,2022,NA,Ferry,
44,Iino Kaiun,2005,2015,NA,General Cargo,
45,ILN,2005,2005,NA,,
46,Intermarine,2005,2010,ZEAMARINE,General Cargo,
47,IRISL,2005,2010,Hafez Darya Arya Shipping Lines,,deleted
48,Jutha,2005,2005,NA,General Cargo,
49,Kambara Kisen,2005,2022,NA,,
50,Kampu Ferry,2005,2022,NA,Ferry,
51,Kawasaki Kinkai Kisen,2005,2022,NA,General Cargo,
52,KLINE,2005,2018,Ocean Network Express,,merger
53,KMTC,2005,2022,NA,,
