No,parent_company,start,end,merging_firm,note,name in CIY,name in HB,other note,dummy_merged_by_data_period,matching_type
206,‘C.N.M. ROMLINE’ SHIPPING CO.,1993,1998,NA,Bankrupt in 1996,,,Compania de Navigatie ROMLINE SA ,,
2,A BOTTACCHI SA DE NAVEGACION,1990,1995,NA,Exit(bankrupt?),,,,,
3,A P MOLLER,1990,2006,NA,Ongoing,Maersk,Maersk,,,
495,A&L CF DECEMBER (1) LTD,2003,2006,Santander Banco SA,,,,Shipowner,1,
167,ABBEY NATIONAL PLC,1992,1997,Santander Banco SA,,,,Shipowner,1,
293,ABOITIZ TRANSPORT SYSTEM CORP,1997,2004,NA,Exit since 2011,,,,,
168,ACTINOR SHIPPING ASA,1992,2002,NA,Ongoing,,,Shipowner,,
479,ADANI SHIPPING (CHINA) CO LTD,2002,2006,NA,Ongoing,,,Shipowner,,
607,ADRIA MARITIME SPA,2006,2006,NA,Ongoing,,,Shipowner,,
608,AFRICAN LEADER TRANSPORTS MARI,2006,2006,NA,Ongoing,,,Shipowner,,
207,AKI KAIUN CO LTD (AKI KAIUN KK,1993,2006,NA,Ongoing,,,Shipowner,,
344,ALCYON SHIPPING CO LTD,1998,1998,NA,Ongoing,,,Shipowner,,
565,ALEXANDER & BALDWIN INC,2005,2006,NA,Ongoing,,,Shipowner,,
4,ALFRED C TOEPFER KG SCHIFFAHRT,1990,2006,NA,Dead in 2016,,,Shipowner,,
496,ALLOCEAN LTD,2003,2006,NA,Ongoing,,,Shipowner,,
566,ALLOCEAN MARITIME LTD,2005,2006,NA,Exit,,,Shipowner,,
383,ALON MARITIME CORP,1999,1999,NA,Ongoing,,,Shipowner,,
278,ALPHA SHIP GMBH,1996,2006,NA,Ongoing,,,Shipowner,,
497,ALUNITED MARITIME BUSINESS (PV,2003,2006,NA,Ongoing,,,Shipowner,,
384,AMASUS SHIPPING BV,1999,1999,NA,Ongoing,,,Shipowner,,
609,AMISCO LTD (AMISCO AS),2006,2006,NA,Ongoing,,,Shipowner,,
5,ANDREW WEIR & CO LTD,1990,2006,NA,Ongoing,,,Shipowner,,
567,ANEMOS SHIPPING CO LTD,2005,2006,NA,Exit,,,Shipowner,,
222,ANGLO-EASTERN SHIP MANAGEMENT,1994,2001,NA,Ongoing,,,Shipmanager,,
6,APL LTD,1990,1997,NOL,Subsidiary of CMA-CGM since 2016 (Subsidiary of NOL since 1998),American President Lines,,,1,acquisition
547,ARADOS SHIPPING CO SRL,2004,2006,NA,Ongoing,,,Shipowner,,
498,ARCTIC SHIPPING CO (OAO SK A,2003,2006,NA,Ongoing,,,"Shipowner, successor of North Eastern Department",,
610,ARIES ENERGY CORP,2006,2006,Lemissoler Shipping Group PCL,Founded as subsidiary,,,Shipmanager,1,
385,ARKAS GROUP OF COMPANIES,1999,2006,NA,Dead in 2000,,,Shipowner,,
423,ARKLOW SHIPPING LTD,2000,2004,NA,Dead in 2000,,,Shipowner,,
455,ASP PACIFIC HOLDINGS PTY LTD,2001,2006,NA,Ongoing,,,Shipowner,,
480,ATLANTIC HORIZON GROUP,2002,2006,NA,Ongoing,,,Shipowner,,
294,B NAVI SPA,1997,2006,,,,,,,
611,BALTHELLAS CHARTERING SA,2006,2006,NA,Ongoing,,,Shipowner,,
169,BALTIC SHIPPING CO,1992,1996,NA,Exit since 2003,,,Shipowner,,
295,BALTIMAR A/S LTD,1997,2002,NA,Ongoing,,,Shipowner,,
7,BANK OF AMERICA NATIONAL TRUST,1990,1992,NA,Ongoing,,,Shipowner,,
8,BANK OF SCOTLAND,1990,2000,NA,Ongoing,,,Shipowner,,
568,BARCLAY SHIPPING LTD,2005,2005,BARCLAY SHIPPING,,,,,1,
499,BARCLAYS BANK PLC,2003,2006,NA,Ongoing,,,Shipowner,,
9,BAUM & CO GMBH & CO KG,1990,2006,NA,Exit since 2013,,,Shipowner,,
386,BAYRAKTAR GEMI ISLETMECILIGI,1999,2006,NA,Ongoing,,,Shipowner,,
424,BBC - BURGER BEREEDERUNGS CONT,2000,2000,NA,Dead in 2019,,,,,
500,BBG-BREMER BEREEDERUNGSGESELLS,2003,2006,NA,Ongoing,,,Shipowner,,
612,BD-SHIPSNAVO GMBH & CO REEDERE,2006,2006,NA,Ongoing,,,Shipowner,,
387,BELUGA SHIPPING GMBH,1999,2006,NA,Ongoing,,,Shipowner,,
10,BEN LINE GROUP LTD (WM THOMSON,1990,1992,NA,All ships were sold in 1991,,,,,
11,BERND BECKER KG,1990,2006,NA,Ongoing,,,Shipmanager,,
501,BERNHARD CRAMER SCHIFFAHRTS- U,2003,2006,NA,Ongoing,,,Shipowner,,
388,BERNUTH AGENCIES INC,1999,2006,NA,Exit,,,,,
502,BESLEASING MOBILIARIA-SOCIEDAD,2003,2006,NA,Ongoing,,,Shipowner,,
170,BLACK SEA SHIPPING CO (CHERNO,1992,1999,NA,Ongoing,,,Shipowner,,
279,BOYANG SHIPPING CO LTD,1996,1998,NA,Ongoing,,,Shipowner,,
425,BRIESE SCHIFFAHRTS GMBH & CO K,2000,2006,NA,Ongoing,,,Shipowner,,
280,BRINK & WOLFFEL,1996,2006,NA,Ongoing,,,Shipowner,,
345,BRISE SCHIFFAHRTS GMBH,1998,2006,NA,Ongoing,,,Shipowner,,
613,BROINTERMED LINES LTD,2006,2006,NA,Ongoing,,,Shipowner,,
296,BROVIGS REDERI AS,1997,2003,NA,Dead,,,Shipowner,,
297,BUDISUKMA SDN BHD,1997,2002,Global Carriers Bhd,Subsidiary of Global Carriers Bhd since 2007,,,Shipowner,0,
12,BUGSIER-REEDEREI-UND BERGUNGS-,1990,1996,NA,Exit since 2023,,,Shipowner,,
426,BULLS TANKREDERI A/S,2000,2006,NA,Ongoing,,,Shipowner,,
13,BURMA NAVIGATION CORP,1990,1998,NA,NA,,,,,
171,BUSAN SHIPPING CO LTD,1992,1994,EUROSEAS LTD,Subdidiary of EUROSEAS LTD since 2005,,,Shipowner,1,
14,C& LINE CO LTD,1990,2006,NA,Ongoing,,,Shipowner,,
172,CABOTAGE VENEZOLANO ‘CABOVEN’,1992,1992,NA,Ongoing,,,Shipowner,,
548,CAPABILITY BV,2004,2006,NA,Ongoing,,,Shipowner,,
456,CAPITAL BANK PLC,2001,2006,NA,Ongoing,,,Shipowner,,
427,CARDIFF MARINE INC,2000,2002,NA,Ongoing,,,Shipowner,,
281,CARL F PETERS (GMBH & CO),1996,2004,Frank Eberhardt ,Subsidiary of Frank Eberhardt since 2022,,,Shipowner,0,
481,CARSTEN REHDER SCHIFFSMAKLER U,2002,2006,NA,Ongoing,,,Shipowner,,
346,CENTRAL MARINE KK (CENTRAL MA,1998,2006,NA,Exit,,,Shipowner,,
223,CENTRAL SHIPPING CO. INC.,1994,1999,NA,Ongoing,,,Shipmanager,,
614,CENTRANS OCEAN SHIPPING LOGIST,2006,2006,NA,Ongoing,,,Shipowner,,
549,CEYLINE SHIPPING LTD,2004,2006,NA,Dead in 2015,,,,,
15,CHENG LIE NAVIGATION CO LTD,1990,2006,CMA-CGM,Subsidiary of CMA-CGM since 2007,,,,0,
173,CHINA MERCHANTS STEAM NAVIGATI,1992,1994,China Merchants Group,Subsidiary of China Merchants Group since 1985,,,Shipowner,1,
347,CHINA NATIONAL FOREIGN TRADE,1998,2006,,,,,,,
16,CHINA OCEAN SHIPPING (GROUP) C,1990,2006,NA,Ongoing,Cosco,Cosco,,,
389,CHINA SHIPPING (GROUP) CO,1999,2006,COSCO,Merged by Cosco in 2016,,,,0,
615,CHINA YANTAI SHIPPING CO LTD,2006,2006,NA,Ongoing,,,Shipowner,,
348,CHIOS MARITIME SA,1998,2006,NA,Ongoing,,,Shipowner,,
174,CHIQUITA BRANDS INTERNATIONAL,1992,2006,NA,Ongoing,,,Shipowner,,
298,CHONG FUI SHIPPING & FORWARDIN,1997,1998,NA,Ongoing,,,Shipowner,,
17,CHRISTIAN F AHRENKIEL GMBH & C,1990,2006,NA,Dead in 2018,,,,,
457,CIEL SHIPMANAGEMENT SA,2001,2002,COSTAMARE SHIPPING CO SA,Subsidiary of COSTAMARE SHIPPING CO SA Ltd since 2001,,,Shipmanager,1,
18,CITICORP,1990,1996,NA,Ongoing,,,Shipowner,,
616,CLIPPER GROUP (MANAGEMENT) LTD,2006,2006,NA,Ongoing,,,Shipowner,,
428,CMA CGM HOLDING,2000,2006,NA,Ongoing,,CMA-CGM,CMA-CGM,,
19,COLONIAL MARINE INDUSTRIES INC,1990,1994,NA,Ongoing,,,Shipmanager,,
175,COLUMBIA SHIPMANAGEMENT LTD,1992,2006,Schoeller Holdings Ltd ,Subsidiary of Schoeller Holdings Ltd since 1978,,,Shipmanager,,
503,COMMERCIAL FLEET OF DONBASS LT,2003,2006,NA,Ongoing,,,Shipowner,,
617,COMMERZ REAL FONDS BETEILIGU,2006,2006,NA,Ongoing,,,Shipowner,,
482,COMPAGNIE DE NAVIGATION DU DET,2002,2006,,,,,,,
20,COMPAGNIE GENERALE MARITIME E,1990,2002,CMA-CGM,Merged as CMA-CGM since 1999,Cie Generale Maritime,,,1,
299,COMPAGNIE MARITIME MARFRET,1997,2006,NA,Ongoing,,,Shipowner,,
21,COMPAGNIE MAROCAINE DE NAVIGAT,1990,2006,CMA-CGM,Subsidiary of CMA-CGM since 2007,,,"abbrebiation ""comanav""",0,
176,COMPANIA ISCOMAR SA,1992,1992,NA,Ongoing,,,Shipowner,,
22,COMPANIA MARITIMA,1990,1991,Maersk,Merged by Maersk in 2017(Merged by Hamburg-Sud in 2015),,,,0,
23,COMPANIA SUDAMERICANA DE VAPO,1990,2006,Hapag-Lloyd,Merged by Hapag-Lloyd in 2014,,,CSAV,0,
24,COMPANIA TRASATLANTICA ESPANOL,1990,2004,Naviera del Odiel,Privatized as Naviera del Odiel in 1994,,,,1,
483,CONTAINERSHIPS LTD OY (CONTAIN,2002,2006,NA,Dead in 2006,,,,,
300,CONTAL SHIPPING LTD,1997,2006,NA,Exit,,,,,
349,CONTAZ MARITIME TRANSPORT & TR,1998,2006,NA,Dead in 2009,,,Shipowner,,
177,CONTENEMAR SA,1992,2006,NA,Ongoing,,,Shipowner,,
25,CONTI REEDEREI,1990,2006,NA,Ongoing,,,Shipmanager,,
429,COSMOSHIP MANAGEMENT SA,2000,2006,NA,Ongoing,,,Shipowner,,
504,COSTA CONTAINER LINES SPA,2003,2006,NA,Dead in 2009,,,,,
26,COSTAMARE SHIPPING CO SA,1990,2006,NA,Ongoing,,,Shipowner,,
505,CP SHIPS LTD,2003,2006,Hapag-Lloyd,Subsidiary of Hapag-Lloyd since 2005,,CP Ships,CP Ships,1,acquisition
224,CROWLEY MARITIME CORP,1994,1998,NA,Ongoing,,,Shipowner,,
